Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int
ReactivePlayer,-42508,25,0.300000,0.300000,0.300000,43,29,14,true,1
ReactivePlayer,-100457,25,0.300000,0.300000,0.300000,99,73,26,false,0
ReactivePlayer,-100929,25,0.300000,0.300000,0.300000,100,86,14,false,0
ReactivePlayer,-31451,25,0.300000,0.300000,0.300000,32,23,9,true,1
ReactivePlayer,-100923,25,0.300000,0.300000,0.300000,99,84,15,false,0
ReactivePlayer,-100073,25,0.300000,0.300000,0.300000,99,82,17,false,0
ReactivePlayer,-32458,25,0.300000,0.300000,0.300000,33,27,6,true,1
ReactivePlayer,-79722,25,0.300000,0.300000,0.300000,79,49,30,true,1
ReactivePlayer,-100046,25,0.300000,0.300000,0.300000,99,82,17,false,0
ReactivePlayer,-33443,25,0.300000,0.300000,0.300000,34,27,7,true,1
ReactivePlayer,-100095,25,0.300000,0.300000,0.300000,99,89,10,false,0
ReactivePlayer,-2054,25,0.300000,0.300000,0.300000,3,0,3,true,1
ReactivePlayer,-58261,25,0.300000,0.300000,0.300000,58,44,14,true,1
ReactivePlayer,-100123,25,0.300000,0.300000,0.300000,99,90,9,false,0
ReactivePlayer,-100081,25,0.300000,0.300000,0.300000,99,82,17,false,0
ReactivePlayer,-100178,25,0.300000,0.300000,0.300000,99,82,17,false,0
ReactivePlayer,-100692,25,0.300000,0.300000,0.300000,100,83,17,false,0
ReactivePlayer,-83808,25,0.300000,0.300000,0.300000,84,77,7,true,1
ReactivePlayer,-100021,25,0.300000,0.300000,0.300000,99,81,18,false,0
ReactivePlayer,-100326,25,0.300000,0.300000,0.300000,99,78,21,false,0
ReactivePlayer,-33,25,0.300000,0.300000,0.300000,1,0,1,true,1
ReactivePlayer,-100316,25,0.300000,0.300000,0.300000,99,79,20,false,0
ReactivePlayer,-100508,25,0.300000,0.300000,0.300000,99,73,26,false,0
ReactivePlayer,-13077,25,0.300000,0.300000,0.300000,14,7,7,true,1
ReactivePlayer,-100189,25,0.300000,0.300000,0.300000,99,77,22,false,0
ReactivePlayer,-100481,25,0.300000,0.300000,0.300000,100,91,9,false,0
ReactivePlayer,-100812,25,0.300000,0.300000,0.300000,100,81,19,false,0
ReactivePlayer,-100847,25,0.300000,0.300000,0.300000,100,78,22,false,0
ReactivePlayer,-100369,25,0.300000,0.300000,0.300000,99,89,10,false,0
ReactivePlayer,-100950,25,0.300000,0.300000,0.300000,100,82,18,false,0
ReactivePlayer,-100581,25,0.300000,0.300000,0.300000,99,80,19,false,0
ReactivePlayer,-100862,25,0.300000,0.300000,0.300000,100,83,17,false,0
ReactivePlayer,-81541,25,0.300000,0.300000,0.300000,81,70,11,true,1
ReactivePlayer,-56632,25,0.300000,0.300000,0.300000,57,47,10,true,1
ReactivePlayer,-100704,25,0.300000,0.300000,0.300000,100,85,15,false,0
ReactivePlayer,-66742,25,0.300000,0.300000,0.300000,67,49,18,true,1
ReactivePlayer,-100000,25,0.300000,0.300000,0.300000,99,78,21,false,0
ReactivePlayer,-74728,25,0.300000,0.300000,0.300000,75,54,21,true,1
ReactivePlayer,-100068,25,0.300000,0.300000,0.300000,99,89,10,false,0
ReactivePlayer,-100194,25,0.300000,0.300000,0.300000,99,78,21,false,0
ReactivePlayer,-100247,25,0.300000,0.300000,0.300000,100,94,6,false,0
ReactivePlayer,-92035,25,0.300000,0.300000,0.300000,92,73,19,true,1
ReactivePlayer,-100945,25,0.300000,0.300000,0.300000,100,86,14,false,0
ReactivePlayer,-38457,25,0.300000,0.300000,0.300000,39,27,12,true,1
ReactivePlayer,-54915,25,0.300000,0.300000,0.300000,55,37,18,true,1
ReactivePlayer,-100290,25,0.300000,0.300000,0.300000,99,73,26,false,0
ReactivePlayer,-100911,25,0.300000,0.300000,0.300000,100,88,12,false,0
ReactivePlayer,-26242,25,0.300000,0.300000,0.300000,27,20,7,true,1
ReactivePlayer,-100795,25,0.300000,0.300000,0.300000,100,86,14,false,0
ReactivePlayer,-100326,25,0.300000,0.300000,0.300000,99,75,24,false,0
ReactivePlayer,-62877,25,0.300000,0.300000,0.300000,63,51,12,true,1
ReactivePlayer,-100920,25,0.300000,0.300000,0.300000,100,86,14,false,0
ReactivePlayer,-58712,25,0.300000,0.300000,0.300000,59,41,18,true,1
ReactivePlayer,-100697,25,0.300000,0.300000,0.300000,99,78,21,false,0
ReactivePlayer,-100162,25,0.300000,0.300000,0.300000,99,79,20,false,0
ReactivePlayer,-40912,25,0.300000,0.300000,0.300000,41,29,12,true,1
ReactivePlayer,-14242,25,0.300000,0.300000,0.300000,15,14,1,true,1
ReactivePlayer,-100942,25,0.300000,0.300000,0.300000,99,83,16,false,0
ReactivePlayer,-85326,25,0.300000,0.300000,0.300000,85,71,14,true,1
ReactivePlayer,-65730,25,0.300000,0.300000,0.300000,66,51,15,true,1
ReactivePlayer,-100642,25,0.300000,0.300000,0.300000,99,83,16,false,0
ReactivePlayer,-100097,25,0.300000,0.300000,0.300000,99,76,23,false,0
ReactivePlayer,-76803,25,0.300000,0.300000,0.300000,77,56,21,true,1
ReactivePlayer,-74959,25,0.300000,0.300000,0.300000,75,60,15,true,1
ReactivePlayer,-36412,25,0.300000,0.300000,0.300000,37,28,9,true,1
ReactivePlayer,-5059,25,0.300000,0.300000,0.300000,6,4,2,true,1
ReactivePlayer,-78484,25,0.300000,0.300000,0.300000,78,65,13,true,1
ReactivePlayer,-65517,25,0.300000,0.300000,0.300000,66,57,9,true,1
ReactivePlayer,-100816,25,0.300000,0.300000,0.300000,100,96,4,false,0
ReactivePlayer,-100082,25,0.300000,0.300000,0.300000,99,77,22,false,0
ReactivePlayer,-42434,25,0.300000,0.300000,0.300000,43,31,12,true,1
ReactivePlayer,-100049,25,0.300000,0.300000,0.300000,99,88,11,false,0
ReactivePlayer,-100490,25,0.300000,0.300000,0.300000,99,80,19,false,0
ReactivePlayer,-100946,25,0.300000,0.300000,0.300000,100,86,14,false,0
ReactivePlayer,-100367,25,0.300000,0.300000,0.300000,99,78,21,false,0
ReactivePlayer,-100630,25,0.300000,0.300000,0.300000,99,76,23,false,0
ReactivePlayer,-73594,25,0.300000,0.300000,0.300000,74,64,10,true,1
ReactivePlayer,-100913,25,0.300000,0.300000,0.300000,100,83,17,false,0
ReactivePlayer,-19251,25,0.300000,0.300000,0.300000,20,19,1,true,1
ReactivePlayer,-100158,25,0.300000,0.300000,0.300000,99,87,12,false,0
ReactivePlayer,-100860,25,0.300000,0.300000,0.300000,100,81,19,false,0
ReactivePlayer,-9088,25,0.300000,0.300000,0.300000,10,8,2,true,1
ReactivePlayer,-100453,25,0.300000,0.300000,0.300000,99,82,17,false,0
ReactivePlayer,-100000,25,0.300000,0.300000,0.300000,99,80,19,false,0
ReactivePlayer,-100908,25,0.300000,0.300000,0.300000,100,90,10,false,0
ReactivePlayer,-100070,25,0.300000,0.300000,0.300000,99,81,18,false,0
ReactivePlayer,-100029,25,0.300000,0.300000,0.300000,99,74,25,false,0
ReactivePlayer,-100148,25,0.300000,0.300000,0.300000,99,77,22,false,0
ReactivePlayer,-100000,25,0.300000,0.300000,0.300000,98,80,18,false,0
ReactivePlayer,-100338,25,0.300000,0.300000,0.300000,99,84,15,false,0
ReactivePlayer,-100429,25,0.300000,0.300000,0.300000,99,79,20,false,0
ReactivePlayer,-2092,25,0.300000,0.300000,0.300000,3,2,1,true,1
ReactivePlayer,-100200,25,0.300000,0.300000,0.300000,99,81,18,false,0
ReactivePlayer,-48539,25,0.300000,0.300000,0.300000,49,35,14,true,1
ReactivePlayer,-100433,25,0.300000,0.300000,0.300000,99,85,14,false,0
ReactivePlayer,-100041,25,0.300000,0.300000,0.300000,99,81,18,false,0
ReactivePlayer,-100294,25,0.300000,0.300000,0.300000,99,72,27,false,0
ReactivePlayer,-5055,25,0.300000,0.300000,0.300000,6,5,1,true,1
ReactivePlayer,-100400,25,0.300000,0.300000,0.300000,99,80,19,false,0
ReactivePlayer,-100124,25,0.300000,0.300000,0.300000,99,75,24,false,0
ReactivePlayer,-4069,25,0.300000,0.300000,0.300000,5,4,1,true,1
ReactivePlayer,-75453,25,0.300000,0.300000,0.300000,76,64,12,true,1
ReactivePlayer,-100916,25,0.300000,0.300000,0.300000,100,78,22,false,0
ReactivePlayer,-15087,25,0.300000,0.300000,0.300000,16,13,3,true,1
ReactivePlayer,-100118,25,0.300000,0.300000,0.300000,99,75,24,false,0
ReactivePlayer,-73613,25,0.300000,0.300000,0.300000,74,66,8,true,1
ReactivePlayer,-68626,25,0.300000,0.300000,0.300000,69,57,12,true,1
ReactivePlayer,-100890,25,0.300000,0.300000,0.300000,100,86,14,false,0
ReactivePlayer,-86121,25,0.300000,0.300000,0.300000,86,79,7,true,1
ReactivePlayer,-100199,25,0.300000,0.300000,0.300000,99,88,11,false,0
ReactivePlayer,-39290,25,0.300000,0.300000,0.300000,40,35,5,true,1
ReactivePlayer,-100654,25,0.300000,0.300000,0.300000,100,89,11,false,0
ReactivePlayer,-100165,25,0.300000,0.300000,0.300000,99,84,15,false,0
ReactivePlayer,-62445,25,0.300000,0.300000,0.300000,63,45,18,true,1
ReactivePlayer,-48680,25,0.300000,0.300000,0.300000,49,41,8,true,1
ReactivePlayer,-100112,25,0.300000,0.300000,0.300000,98,80,18,false,0
ReactivePlayer,-100907,25,0.300000,0.300000,0.300000,100,82,18,false,0
ReactivePlayer,-100247,25,0.300000,0.300000,0.300000,99,79,20,false,0
ReactivePlayer,-100017,25,0.300000,0.300000,0.300000,99,73,26,false,0
ReactivePlayer,-100347,25,0.300000,0.300000,0.300000,99,82,17,false,0
ReactivePlayer,-100632,25,0.300000,0.300000,0.300000,99,79,20,false,0
ReactivePlayer,-100926,25,0.300000,0.300000,0.300000,100,84,16,false,0
ReactivePlayer,-78936,25,0.300000,0.300000,0.300000,79,59,20,true,1
ReactivePlayer,-100859,25,0.300000,0.300000,0.300000,99,72,27,false,0
ReactivePlayer,-100286,25,0.300000,0.300000,0.300000,99,72,27,false,0
ReactivePlayer,-100263,25,0.300000,0.300000,0.300000,99,73,26,false,0
ReactivePlayer,-85654,25,0.300000,0.300000,0.300000,86,73,13,true,1
ReactivePlayer,-13189,25,0.300000,0.300000,0.300000,14,9,5,true,1
