Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int,WumpusKilled,RoomsExplored
ReactivePlayer,-32447,15,0.300000,0.300000,0.300000,33,25,8,true,1,8,87
ReactivePlayer,-14273,15,0.300000,0.300000,0.300000,15,11,4,true,1,4,64
ReactivePlayer,-77162,15,0.300000,0.300000,0.300000,77,64,13,true,1,13,148
ReactivePlayer,-33495,15,0.300000,0.300000,0.300000,34,28,6,true,1,6,97
ReactivePlayer,-3050,15,0.300000,0.300000,0.300000,4,3,1,true,1,1,21
ReactivePlayer,-49615,15,0.300000,0.300000,0.300000,50,41,9,true,1,9,142
ReactivePlayer,-33892,15,0.300000,0.300000,0.300000,34,25,9,true,1,9,141
ReactivePlayer,-71591,15,0.300000,0.300000,0.300000,72,68,4,true,1,4,85
ReactivePlayer,-24379,15,0.300000,0.300000,0.300000,25,20,5,true,1,5,119
ReactivePlayer,-100303,15,0.300000,0.300000,0.300000,99,84,15,false,0,15,206
ReactivePlayer,-46449,15,0.300000,0.300000,0.300000,47,44,3,true,1,3,101
ReactivePlayer,-17303,15,0.300000,0.300000,0.300000,18,12,6,true,1,6,64
ReactivePlayer,-100896,15,0.300000,0.300000,0.300000,100,86,14,false,0,14,158
ReactivePlayer,-100649,15,0.300000,0.300000,0.300000,99,84,15,false,0,15,174
ReactivePlayer,-19169,15,0.300000,0.300000,0.300000,20,19,1,true,1,1,31
ReactivePlayer,-100103,15,0.300000,0.300000,0.300000,99,90,9,false,0,9,168
ReactivePlayer,-42753,15,0.300000,0.300000,0.300000,43,37,6,true,1,6,144
ReactivePlayer,-66971,15,0.300000,0.300000,0.300000,67,55,12,true,1,12,154
ReactivePlayer,-34369,15,0.300000,0.300000,0.300000,35,34,1,true,1,1,60
ReactivePlayer,-100946,15,0.300000,0.300000,0.300000,100,91,9,false,0,9,162
ReactivePlayer,-100100,15,0.300000,0.300000,0.300000,99,87,12,false,0,12,180
ReactivePlayer,-11139,15,0.300000,0.300000,0.300000,12,7,5,true,1,5,52
ReactivePlayer,-8172,15,0.300000,0.300000,0.300000,9,4,5,true,1,5,69
ReactivePlayer,-100606,15,0.300000,0.300000,0.300000,99,85,14,false,0,14,143
ReactivePlayer,-31230,15,0.300000,0.300000,0.300000,32,31,1,true,1,1,41
ReactivePlayer,-79860,15,0.300000,0.300000,0.300000,80,67,13,true,1,13,171
ReactivePlayer,-26437,15,0.300000,0.300000,0.300000,27,22,5,true,1,5,89
ReactivePlayer,-33409,15,0.300000,0.300000,0.300000,34,29,5,true,1,5,68
ReactivePlayer,-100604,15,0.300000,0.300000,0.300000,99,89,10,false,0,10,128
ReactivePlayer,-57507,15,0.300000,0.300000,0.300000,57,48,9,true,1,9,120
ReactivePlayer,-100471,15,0.300000,0.300000,0.300000,99,81,18,false,0,18,185
ReactivePlayer,-35406,15,0.300000,0.300000,0.300000,36,32,4,true,1,4,103
ReactivePlayer,-48608,15,0.300000,0.300000,0.300000,49,38,11,true,1,11,151
ReactivePlayer,-21235,15,0.300000,0.300000,0.300000,22,12,10,true,1,10,86
ReactivePlayer,-100341,15,0.300000,0.300000,0.300000,99,87,12,false,0,12,165
