Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int
ReasoningPlayer,-60432,20,0.754674,0.188352,0.232078,59,29,30,true,1
ReasoningPlayer,-100407,20,0.231313,0.440252,0.737301,99,93,6,false,0
ReasoningPlayer,-42806,20,0.802901,0.951117,0.455260,43,29,14,true,1
ReasoningPlayer,-100749,20,0.780948,0.554400,0.380251,97,64,33,false,0
ReasoningPlayer,-100351,20,0.621812,0.089078,0.837416,99,92,7,false,0
ReasoningPlayer,-100089,20,0.778748,0.910068,0.883125,99,96,3,false,0
ReasoningPlayer,-100340,20,0.781839,0.309886,0.162616,93,23,70,false,0
ReasoningPlayer,-100342,20,0.476164,0.559050,0.639809,99,96,3,false,0
ReasoningPlayer,-108,20,0.769619,0.751542,0.617992,1,0,1,true,1
ReasoningPlayer,-100455,20,0.250800,0.233269,0.601513,99,95,4,false,0
ReasoningPlayer,-100860,20,0.341673,0.211161,0.584443,99,94,5,false,0
ReasoningPlayer,-100146,20,0.510730,0.735950,0.973751,100,100,0,false,0
ReasoningPlayer,-100909,20,0.170157,0.314158,0.958731,100,99,1,false,0
ReasoningPlayer,-21661,20,0.885582,0.417322,0.784962,22,14,8,true,1
ReasoningPlayer,-100993,20,0.725270,0.482480,0.796457,100,92,8,false,0
ReasoningPlayer,-100311,20,0.115142,0.884014,0.315674,93,92,1,false,0
ReasoningPlayer,-100725,20,0.358433,0.540158,0.747514,100,96,4,false,0
ReasoningPlayer,-100486,20,0.011258,0.898006,0.328547,99,99,0,false,0
ReasoningPlayer,460,20,0.084184,0.498849,0.009778,0,0,0,true,1
ReasoningPlayer,-100454,20,0.108454,0.029244,0.862346,99,96,3,false,0
ReasoningPlayer,-100399,20,0.045411,0.035282,0.556966,99,99,0,false,0
ReasoningPlayer,-51875,20,0.063549,0.255331,0.618113,52,52,0,true,1
ReasoningPlayer,-46737,20,0.571386,0.868514,0.203820,46,32,14,true,1
ReasoningPlayer,-100084,20,0.117275,0.118918,0.666847,99,99,0,false,0
ReasoningPlayer,-100955,20,0.883292,0.301427,0.703878,99,70,29,false,0
ReasoningPlayer,-74027,20,0.515770,0.821763,0.009745,59,25,34,true,1
ReasoningPlayer,-100161,20,0.196674,0.663605,0.876858,99,96,3,false,0
ReasoningPlayer,-17757,20,0.403266,0.364491,0.011475,16,0,16,true,1
ReasoningPlayer,-100503,20,0.340459,0.009194,0.625573,100,98,2,false,0
ReasoningPlayer,-100492,20,0.457323,0.439920,0.662923,99,92,7,false,0
ReasoningPlayer,-100080,20,0.230741,0.832979,0.315004,96,91,5,false,0
ReasoningPlayer,-100037,20,0.234776,0.709586,0.192856,94,84,10,false,0
ReasoningPlayer,-21146,20,0.074090,0.591928,0.083803,16,11,5,true,1
ReasoningPlayer,-100526,20,0.541944,0.588840,0.590711,97,79,18,false,0
ReasoningPlayer,-79339,20,0.046434,0.701135,0.273470,76,75,1,true,1
ReasoningPlayer,-100224,20,0.020474,0.033313,0.899511,99,99,0,false,0
ReasoningPlayer,-100980,20,0.212911,0.327393,0.871808,100,96,4,false,0
ReasoningPlayer,-100517,20,0.856068,0.653549,0.635115,98,82,16,false,0
ReasoningPlayer,-38657,20,0.481986,0.567469,0.050926,32,6,26,true,1
ReasoningPlayer,-100118,20,0.048836,0.926611,0.753758,99,99,0,false,0
ReasoningPlayer,-58269,20,0.580671,0.480388,0.958948,58,50,8,true,1
ReasoningPlayer,-100600,20,0.930569,0.262114,0.264144,98,57,41,false,0
ReasoningPlayer,627,20,0.101101,0.374215,0.618439,0,0,0,true,1
ReasoningPlayer,-100717,20,0.647028,0.200681,0.825160,100,96,4,false,0
