Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int,WumpusKilled,RoomsExplored
ReasoningPlayer,-44846,25,0.300000,0.300000,0.300000,40,29,11,true,1,11,500
ReasoningPlayer,879,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,12
ReasoningPlayer,-25518,25,0.300000,0.300000,0.300000,22,13,9,true,1,9,404
ReasoningPlayer,-100656,25,0.300000,0.300000,0.300000,97,80,17,false,0,17,201
ReasoningPlayer,-30874,25,0.300000,0.300000,0.300000,27,21,6,true,1,7,398
ReasoningPlayer,996,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,4
ReasoningPlayer,-100120,25,0.300000,0.300000,0.300000,94,74,20,false,0,20,318
ReasoningPlayer,-361,25,0.300000,0.300000,0.300000,1,0,1,true,1,1,41
ReasoningPlayer,667,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,51
ReasoningPlayer,-81972,25,0.300000,0.300000,0.300000,77,57,20,true,1,20,438
ReasoningPlayer,-19475,25,0.300000,0.300000,0.300000,16,10,6,true,1,6,422
ReasoningPlayer,-60817,25,0.300000,0.300000,0.300000,56,36,20,true,1,21,414
ReasoningPlayer,-4296,25,0.300000,0.300000,0.300000,4,3,1,true,1,1,155
ReasoningPlayer,-9136,25,0.300000,0.300000,0.300000,6,0,6,true,1,7,426
ReasoningPlayer,-100010,25,0.300000,0.300000,0.300000,91,68,23,false,0,25,441
ReasoningPlayer,-100694,25,0.300000,0.300000,0.300000,95,86,9,false,0,9,369
ReasoningPlayer,-18653,25,0.300000,0.300000,0.300000,18,14,4,true,1,4,148
ReasoningPlayer,-100864,25,0.300000,0.300000,0.300000,93,74,19,false,0,20,509
ReasoningPlayer,-96188,25,0.300000,0.300000,0.300000,91,70,21,true,1,21,310
ReasoningPlayer,-100206,25,0.300000,0.300000,0.300000,95,80,15,false,0,15,264
ReasoningPlayer,844,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,30
ReasoningPlayer,-61,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,151
ReasoningPlayer,81,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,116
ReasoningPlayer,-100077,25,0.300000,0.300000,0.300000,94,81,13,false,0,16,372
ReasoningPlayer,967,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,15
ReasoningPlayer,-100164,25,0.300000,0.300000,0.300000,93,78,15,false,0,16,357
ReasoningPlayer,194,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,118
ReasoningPlayer,-100428,25,0.300000,0.300000,0.300000,96,76,20,false,0,22,271
ReasoningPlayer,-100087,25,0.300000,0.300000,0.300000,94,74,20,false,0,21,334
ReasoningPlayer,289,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,82
ReasoningPlayer,-102,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,141
ReasoningPlayer,-81753,25,0.300000,0.300000,0.300000,76,59,17,true,1,17,476
ReasoningPlayer,-182,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,140
ReasoningPlayer,-28459,25,0.300000,0.300000,0.300000,26,17,9,true,1,9,250
ReasoningPlayer,-386,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,165
ReasoningPlayer,-100048,25,0.300000,0.300000,0.300000,92,68,24,false,0,25,515
ReasoningPlayer,-100310,25,0.300000,0.300000,0.300000,96,88,8,false,0,8,190
ReasoningPlayer,-100629,25,0.300000,0.300000,0.300000,94,72,22,false,0,24,421
ReasoningPlayer,-1190,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,292
ReasoningPlayer,-100712,25,0.300000,0.300000,0.300000,94,67,27,false,0,31,372
ReasoningPlayer,-18874,25,0.300000,0.300000,0.300000,17,6,11,true,1,11,305
ReasoningPlayer,-82165,25,0.300000,0.300000,0.300000,76,49,27,true,1,30,490
ReasoningPlayer,883,25,0.300000,0.300000,0.300000,0,0,0,true,1,0,25
